iter	Passed	Remaining
0	9	13671
1	19	14761
2	30	15389
3	39	14685
4	48	14431
5	55	13892
6	63	13520
7	72	13478
8	80	13263
9	88	13215
10	96	13032
11	103	12892
12	111	12776
13	119	12678
14	126	12572
15	134	12496
16	142	12389
17	149	12348
18	157	12294
19	165	12261
20	173	12208
21	181	12222
22	190	12257
23	202	12438
24	211	12506
25	220	12507
26	228	12484
27	237	12467
28	244	12418
29	251	12346
30	259	12309
31	267	12286
32	275	12256
33	283	12233
34	291	12213
35	299	12181
36	307	12149
37	315	12127
38	323	12107
39	330	12074
40	338	12048
41	346	12041
42	359	12196
43	368	12203
44	378	12238
45	386	12201
46	394	12198
47	402	12163
48	410	12168
49	418	12135
50	426	12114
51	433	12081
52	441	12062
53	449	12034
54	457	12021
55	465	12004
56	474	12009
57	482	12005
58	494	12077
59	502	12049
60	510	12032
61	517	12003
62	524	11971
63	532	11943
64	539	11915
65	547	11902
66	555	11884
67	563	11865
68	571	11847
69	579	11830
70	587	11815
71	595	11817
72	605	11829
73	613	11823
74	623	11841
75	631	11837
76	639	11817
77	647	11808
78	655	11795
79	663	11775
80	671	11760
81	678	11740
82	686	11724
83	694	11707
84	702	11689
85	710	11675
86	717	11652
87	725	11642
88	732	11620
89	740	11602
90	748	11582
91	757	11586
92	765	11584
93	778	11651
94	790	11684
95	793	11609
96	803	11626
97	813	11633
98	821	11631
99	830	11633
100	840	11636
101	850	11662
102	863	11706
103	875	11747
104	886	11775
105	896	11785
106	905	11784
107	915	11794
108	924	11798
109	932	11787
110	940	11775
111	949	11763
112	959	11773
113	969	11788
114	979	11791
115	988	11795
116	998	11796
117	1007	11794
118	1016	11794
119	1024	11786
120	1036	11808
121	1052	11890
122	1062	11895
123	1071	11895
124	1082	11904
125	1090	11890
126	1100	11893
127	1107	11873
128	1115	11860
129	1123	11841
130	1131	11821
131	1139	11807
132	1146	11787
133	1154	11767
134	1161	11748
135	1169	11727
136	1177	11712
137	1186	11705
138	1196	11711
139	1207	11726
140	1218	11743
141	1229	11760
142	1236	11734
143	1245	11726
144	1252	11703
145	1260	11694
146	1267	11670
147	1275	11647
148	1282	11626
149	1291	11625
150	1301	11629
151	1313	11645
152	1324	11664
153	1333	11652
154	1342	11652
155	1350	11638
156	1358	11624
157	1367	11614
158	1376	11605
159	1384	11592
160	1392	11579
161	1400	11563
162	1408	11550
163	1415	11534
164	1423	11520
165	1431	11504
166	1439	11491
167	1447	11477
168	1456	11472
169	1465	11463
170	1475	11467
171	1487	11487
172	1494	11467
173	1504	11463
174	1511	11442
175	1520	11440
176	1529	11433
177	1538	11423
178	1546	11412
179	1554	11400
180	1562	11382
181	1569	11366
182	1576	11347
183	1584	11336
184	1592	11317
185	1600	11306
186	1607	11286
187	1615	11273
188	1623	11258
189	1630	11240
190	1637	11222
191	1645	11213
192	1653	11195
193	1660	11178
194	1668	11164
195	1675	11150
196	1683	11133
197	1691	11125
198	1703	11138
199	1711	11126
200	1719	11112
201	1726	11092
202	1733	11074
203	1740	11058
204	1750	11057
